Country,Happiness Score,Population Density
Afghanistan,3.79399991,54.4
Albania,4.644000053,106.9
Algeria,5.872000217,17.3
Angola,3.7950000760000004,23.9
Argentina,6.598999977,16.2
Armenia,4.375999928,102.9
Australia,7.28399992,3.2
Austria,7.006000042,106.0
Azerbaijan,5.234000206,118.9
Bahrain,6.086999893,1963.9
Bangladesh,4.607999802,1265.0
Belarus,5.568999767,46.7
Belgium,6.890999794,377.5
Belize,5.9559998510000005,16.4
Benin,3.657000065,99.1
Bhutan,5.011000156000001,21.2
Bolivia,5.822999954,10.2
Bosnia and Herzegovina,5.18200016,68.8
Botswana,3.766000032,4.0
Brazil,6.635000229,25.0
Bulgaria,4.714000225,65.3
Burkina Faso,4.032000065,70.2
Burundi,2.904999971,423.1
Cambodia,4.168000221000001,90.7
Cameroon,4.695000172,50.9
Canada,7.315999985,4.0
Central African Republic,2.6930000780000003,7.5
Chad,3.9360001089999996,11.8
Chile,6.65199995,24.3
China,5.2729997630000005,150.1
Colombia,6.3569998739999996,44.2
Congo (Brazzaville),4.290999889,15.4
Congo (Kinshasa),4.28000021,35.9
Costa Rica,7.078999996,96.1
Croatia,5.293000221000001,74.9
Cyprus,5.620999812999999,127.7
Czech Republic,6.609000206,137.5
Denmark,7.521999836,135.1
Dominican Republic,5.230000018999999,222.8
Ecuador,6.007999897,66.9
Egypt,4.735000134,98.0
El Salvador,6.002999783,307.8
Estonia,5.611000061,30.9
Ethiopia,4.460000038,105.0
Finland,7.468999863,18.2
France,6.441999912000001,118.7
Gabon,4.465000153,7.9
Georgia,4.285999775,56.3
Germany,6.951000214,235.6
Ghana,4.1199998860000004,126.7
Greece,5.2270002369999995,86.6
Guatemala,6.453999996,157.8
Guinea,3.5069999689999998,51.8
Haiti,3.6029999260000003,398.4
Honduras,5.181000233,82.8
"Hong Kong S.A.R., China",5.472000122000001,7014.2
Hungary,5.323999882,107.4
Iceland,7.504000187000001,3.3
India,4.315000057,450.4
Indonesia,5.262000083999999,145.7
Iran,4.691999912,49.8
Iraq,4.497000217,88.1
Ireland,6.977000237,69.1
Israel,7.212999821,384.5
Italy,5.964000225,201.8
Jamaica,5.31099987,266.9
Japan,5.920000076,349.7
Jordan,5.335999966,109.3
Kazakhstan,5.818999767,6.7
Kenya,4.552999973,87.3
Kuwait,6.105000018999999,232.1
Kyrgyzstan,5.004000187,31.5
Latvia,5.849999905,31.3
Lebanon,5.224999905,594.6
Lesotho,3.808000088,73.6
Liberia,3.5329999919999997,49.1
Libya,5.525000095,3.6
Lithuania,5.90199995,46.1
Luxembourg,6.862999916000001,225.3
Macedonia,5.1750001910000005,82.6
Madagascar,3.644000053,44.0
Malawi,3.970000029,197.5
Malaysia,6.084000111,96.3
Mali,4.190000057,15.2
Malta,6.52699995,1346.4
Mauritania,4.291999817,4.3
Mauritius,5.629000187000001,623.2
Mexico,6.578000069,66.4
Moldova,5.837999821,123.3
Mongolia,4.954999924,2.0
Montenegro,5.236999989,46.8
Morocco,5.235000134,80.1
Mozambique,4.5500001910000005,37.7
Myanmar,4.545000076,81.7
Namibia,4.573999882,3.1
Nepal,4.961999893,204.4
Netherlands,7.376999855,505.2
New Zealand,7.31400013,17.9
Nicaragua,6.071000099,51.7
Niger,4.027999878,17.0
Nigeria,5.073999882,209.6
Norway,7.537000179,14.5
Pakistan,5.269000053,255.6
Palestinian Territories,4.775000095,817.4
Panama,6.452000141,55.1
Paraguay,5.493000031,17.1
Peru,5.715000152999999,25.1
Philippines,5.429999828,351.9
Poland,5.97300005,124.6
Portugal,5.195000172,112.8
Qatar,6.375,227.3
Romania,5.8249998089999995,85.5
Russia,5.962999821,8.8
Rwanda,3.4709999560000004,494.9
Saudi Arabia,6.343999863,15.3
Senegal,4.534999847,82.3
Serbia,5.394999981000001,100.5
Sierra Leone,4.709000111,104.7
Singapore,6.5720000270000005,8155.5
Slovakia,6.09800005,113.3
Slovenia,5.757999897,103.3
Somalia,5.151000023,23.5
South Africa,4.828999996,46.8
South Korea,5.837999821,211.7
South Sudan,3.59100008,20.6
Spain,6.402999877999999,92.9
Sri Lanka,4.440000057,332.9
Sudan,4.138999939,23.0
Sweden,7.28399992,24.2
Switzerland,7.493999958,214.5
Syria,3.461999893,99.5
Tajikistan,5.040999889,63.7
Tanzania,3.348999977,64.7
Thailand,6.423999786,135.1
Togo,3.4949998860000004,143.4
Trinidad and Tobago,6.168000221000001,266.9
Tunisia,4.804999828,74.2
Turkey,5.5,104.9
Turkmenistan,5.8220000270000005,12.3
Uganda,4.0809998510000005,214.5
Ukraine,4.096000195,76.3
United Arab Emirates,6.647999763,112.4
United Kingdom,6.714000225,273.6
United States,6.993000031,35.5
Uruguay,6.453999996,19.8
Uzbekistan,5.971000195,75.0
Venezuela,5.25,36.3
Vietnam,5.073999882,308.1
Yemen,3.592999935,53.5
Zambia,4.513999939,23.0
Zimbabwe,3.875,42.7
